suburb,tier,latitude,longitude,distance_to_cbd_km,bedrooms,bathrooms,size_sqm,plot_size_sqm,house_age,has_pool,has_borehole,has_solar,walled,price_usd
Hatfield,middle,-17.87439569826236,31.08729342822282,6.58,1,1,192,779,22,0,0,0,1,94682.25
Avondale,upper-mid,-17.794408548117055,31.02583202058465,4.55,7,6,204,992,45,0,1,1,1,384563.79
Mufakose,township,-17.91310162849604,30.962502322624925,12.63,2,1,98,330,23,0,0,0,1,34656.33
Belvedere,middle,-17.855660667093932,31.025612799350746,3.42,4,3,233,1277,26,0,1,0,1,201780.13
Glen Lorne,premium,-17.748814283258778,31.18185304054412,17.13,4,4,313,1440,30,1,1,1,0,629897.37
Budiriro,township,-17.9317399029692,30.94040041312312,15.75,2,1,42,248,23,0,0,0,1,27594.26
Hatfield,middle,-17.871330252725915,31.091697963116275,6.67,7,6,171,492,22,0,0,0,1,201575.26
Mabelreign,middle,-17.80889745287068,30.997527115589193,5.59,5,5,217,577,29,0,0,0,1,147741.18
Mt Pleasant,premium,-17.77828606828538,31.021173230938523,6.38,4,4,216,544,40,1,1,1,1,414105.28
Avondale,upper-mid,-17.786466351303638,31.026116244231968,5.34,6,6,331,1456,33,1,1,1,1,382673.13
Greendale,upper-mid,-17.78714780973918,31.1261441861895,9.88,2,2,152,503,0,0,0,1,1,338060.86
Glen View,township,-17.925921971759195,30.97209600304145,13.07,1,1,93,617,19,0,0,0,1,31019.1
Belvedere,middle,-17.8467928163604,31.01511807396117,3.62,4,4,170,774,19,0,0,0,1,195645.66
Mabelreign,middle,-17.809720165642354,31.004239258131502,4.92,1,1,149,525,17,0,0,1,1,93369.29
Avondale,upper-mid,-17.781878508036964,31.03152334749561,5.65,1,1,291,869,32,1,1,0,1,277020.92
Highlands,upper-mid,-17.78583057873188,31.06932236091103,5.64,4,4,262,989,17,1,1,1,1,513031.99
Marlborough,middle,-17.780799416248406,30.946461010684157,11.83,3,2,209,1098,25,0,0,1,1,223033.45
Glen Lorne,premium,-17.7449477842973,31.173164430579828,16.6,3,3,311,1404,17,1,1,1,1,581028.14
Mabelreign,middle,-17.80365895514326,30.99619693523495,5.99,5,4,180,547,25,0,1,0,1,177371.87
Avonlea,middle,-17.76929284944895,30.98547412471628,9.32,5,4,148,320,8,0,1,0,1,237325.65
Hatfield,middle,-17.872663809583038,31.08665477437913,6.4,3,3,176,864,19,0,0,0,1,146012.99
Greendale,upper-mid,-17.78771919638435,31.13706303950318,10.87,1,1,320,1634,17,0,1,0,1,271373.31
Budiriro,township,-17.940939802815098,30.93265167278965,17.05,5,4,67,295,10,0,0,0,1,41491.93
Glen View,township,-17.924584657812826,30.97196031058292,12.96,6,6,112,625,44,0,0,0,1,51148.72
Hatfield,middle,-17.87074244373923,31.094244332680177,6.83,2,2,148,915,17,0,0,0,1,140143.41
Ballantyne Park,premium,-17.753161861537496,31.087391645502198,9.75,2,1,430,1340,22,1,1,1,1,393032.63
Avondale,upper-mid,-17.790419906738737,31.022464416071827,5.1,3,3,129,788,12,1,1,1,1,387019.72
Borrowdale,premium,-17.74610342793093,31.101914355676858,11.2,3,3,270,1717,31,0,1,1,1,688125.41
Ballantyne Park,premium,-17.759590308757126,31.087309204296965,9.12,8,6,293,1446,36,1,1,0,1,586892.96
Belvedere,middle,-17.850105719818963,31.02536266682355,2.97,4,4,214,1496,9,0,1,0,1,227507.47
Hatfield,middle,-17.86776480859143,31.091938128857574,6.43,2,2,197,1074,30,0,1,0,1,127443.23
Budiriro,township,-17.9480729763432,30.939598008030472,17.14,2,2,74,238,13,0,0,0,1,35919.52
Vainona,upper-mid,-17.776527734004596,31.070319994354577,6.62,3,2,256,1115,23,0,1,1,1,417323.86
Greendale,upper-mid,-17.786999195500215,31.131535541812912,10.39,2,2,255,1036,16,0,1,0,1,315689.52
Avondale,upper-mid,-17.78848256432133,31.03763766032379,4.79,1,1,334,1042,39,0,1,1,1,240814.73
Ballantyne Park,premium,-17.757516980717437,31.082187242174307,9.07,5,5,465,1095,33,0,1,1,1,564356.06
Mt Pleasant,premium,-17.77485131902997,31.017324852728457,6.9,4,4,443,3119,5,1,1,0,1,586072.25
Avondale,upper-mid,-17.789604338084946,31.0350319523881,4.72,2,2,408,1117,8,0,1,1,1,349213.79
Highlands,upper-mid,-17.79002307018473,31.063350544887797,4.95,6,5,307,1510,41,0,0,0,1,497430.22
Belvedere,middle,-17.847503227543132,31.024496155359056,2.84,5,4,205,975,24,0,1,0,1,201908.27
Avondale,upper-mid,-17.78892325684469,31.024694039053323,5.15,1,1,202,1202,13,0,1,1,1,304687.13
Mabelreign,middle,-17.812815517364196,30.995070625125038,5.66,1,1,147,678,13,0,0,0,1,109982.43
Belvedere,middle,-17.853074183159166,31.017534878723087,3.8,3,3,79,265,22,0,0,0,1,170576.06
Vainona,upper-mid,-17.786164291986008,31.076900231680533,6.02,4,3,233,1024,27,1,0,0,1,393802.51
Mabelreign,middle,-17.80913215270554,30.99886161185407,5.46,7,6,178,698,21,0,0,1,1,215987.72
Mabelreign,middle,-17.803142741280062,31.004936615470136,5.25,1,1,195,681,26,0,1,0,1,107508.61
Greendale,upper-mid,-17.792316779938098,31.123283577739446,9.34,3,3,365,3187,5,0,0,0,1,373573.97
Vainona,upper-mid,-17.77751520976219,31.085623979825854,7.34,3,3,254,1424,25,1,0,1,1,369171.36
Belvedere,middle,-17.846867453858913,31.01906300389548,3.26,4,3,135,688,11,0,0,1,1,202165.45
Mt Pleasant,premium,-17.77848613224283,31.019560204745094,6.43,3,2,246,1150,11,0,0,0,1,413482.92
Highlands,upper-mid,-17.7904108557867,31.070157870611407,5.24,2,2,290,2552,34,0,0,0,1,349660.08
Borrowdale,premium,-17.732327342421485,31.090020462069404,11.96,4,4,496,417,24,0,1,1,1,790432.71
Mabelreign,middle,-17.80548167658309,30.99006062085199,6.47,7,6,111,414,16,0,0,0,1,178981.61
Belvedere,middle,-17.848855220229783,31.025010159966552,2.9,4,4,175,958,20,0,0,1,1,203289.61
Belvedere,middle,-17.849073812698887,31.02424835126224,2.98,4,4,156,1223,27,0,0,1,1,211718.78
Mabelreign,middle,-17.807364357662074,31.011005515693775,4.46,3,3,191,841,27,0,1,0,1,138616.9
Avondale,upper-mid,-17.789333059321464,31.026015211733593,5.05,3,2,316,200,14,0,0,0,1,291990.76
Avonlea,middle,-17.757280542044704,30.99075673466828,10.01,4,4,188,457,36,0,0,0,1,229158.23
Mt Pleasant,premium,-17.787126929996404,31.025672662243487,5.29,2,2,428,2866,0,1,1,1,1,563905.15
Mt Pleasant,premium,-17.775531576754176,31.0257424764929,6.5,1,1,281,1505,23,1,1,0,1,432744.92
Belvedere,middle,-17.851389724681948,31.02066259692914,3.43,4,3,158,1181,50,0,0,0,1,141594.03
Avondale,upper-mid,-17.791113270238846,31.022312785254368,5.04,1,1,183,772,41,1,1,0,1,231013.56
Avonlea,middle,-17.769887400359103,30.987787367672304,9.1,2,2,230,807,10,0,1,0,1,242369.56
Hatfield,middle,-17.87124362668829,31.08811382162952,6.39,1,1,136,649,42,0,0,0,1,81508.18
Belvedere,middle,-17.848909789508117,31.018654847578695,3.43,2,2,199,1096,0,0,1,0,1,176262.69
Marlborough,middle,-17.78443768412176,30.951043209532433,11.21,5,5,189,714,13,0,0,0,1,306167.24
Marlborough,middle,-17.776151341827415,30.957230520549714,11.11,3,2,205,1013,16,0,0,0,1,246458.82
Vainona,upper-mid,-17.77517783774208,31.074815030476703,6.96,7,6,291,1189,20,1,1,1,1,616408.64
Borrowdale,premium,-17.735367109324816,31.105660256836053,12.42,4,3,327,1609,17,1,1,1,1,768352.52
Avondale,upper-mid,-17.789897302185366,31.02891653372972,4.88,2,1,297,2230,16,0,0,0,1,314515.75
Highlands,upper-mid,-17.790958855114123,31.070263060379556,5.19,2,2,203,1233,18,0,1,0,1,363349.7
Greendale,upper-mid,-17.79117660973938,31.12878751603961,9.91,2,2,370,3354,18,1,0,1,1,377292.13
Mabelreign,middle,-17.810976491087008,30.999899527258123,5.27,2,2,108,351,0,0,1,0,1,113365.53
Highlands,upper-mid,-17.786626620432298,31.065557076876214,5.39,3,2,328,3218,25,0,1,1,1,377200.15
Glen Lorne,premium,-17.740033450948406,31.177953748466948,17.33,2,1,233,1722,18,1,1,0,1,456917.39
Vainona,upper-mid,-17.78020222814342,31.08652296042839,7.16,3,3,260,1145,37,0,1,1,1,370270.21
Vainona,upper-mid,-17.780645410817478,31.077592799885547,6.58,3,3,271,1153,2,0,1,1,1,439640.77
Belvedere,middle,-17.850213371848987,31.02432021813037,3.06,4,4,207,200,0,1,0,1,0,204302.1
Marlborough,middle,-17.77589627147368,30.94244388656752,12.47,6,5,227,1078,12,0,1,0,1,362559.85
Mabelreign,middle,-17.808440773117844,30.998491596119347,5.53,4,4,151,686,3,0,0,0,1,152108.4
Belvedere,middle,-17.846677505809843,31.019208504132752,3.24,5,5,147,646,7,1,1,0,1,241892.7
Greendale,upper-mid,-17.78800390959713,31.138214240844263,10.97,3,3,282,1682,4,0,1,1,1,494883.88
Mabelreign,middle,-17.81357708801661,31.010259063779696,4.16,3,3,114,431,29,0,0,0,1,105500.07
Ballantyne Park,premium,-17.76134015609094,31.077405773433593,8.47,5,5,401,2616,13,0,1,0,1,687342.84
Borrowdale,premium,-17.734779958044612,31.096394689426006,12.0,1,1,335,1567,37,1,1,0,1,534702.26
Glen Lorne,premium,-17.740993163119942,31.18472161176059,17.86,4,4,336,1535,17,1,1,1,1,674670.37
Hatfield,middle,-17.870081982248692,31.084706813660233,6.05,7,6,86,412,0,0,1,0,1,202078.14
Avondale,upper-mid,-17.79471988672645,31.02897820281732,4.38,4,4,374,3044,12,0,1,0,1,422517.44
Ballantyne Park,premium,-17.770667669912132,31.079666056605856,7.65,4,4,547,3823,24,1,0,1,1,574638.49
Marlborough,middle,-17.776617298526187,30.940293429397013,12.63,7,6,162,1055,17,0,0,0,1,304864.9
Ballantyne Park,premium,-17.75945320318669,31.087452208070502,9.14,3,2,285,1487,32,0,1,0,1,416870.17
Belvedere,middle,-17.84602446158609,31.02104332949482,3.04,6,6,214,977,29,0,0,0,0,206605.01
Avondale,upper-mid,-17.790504948029092,31.03005143363669,4.77,4,3,316,1532,13,0,1,1,1,415222.4
Greendale,upper-mid,-17.784978470156368,31.125734550013824,9.96,1,1,227,1752,16,0,1,0,1,322401.78
Vainona,upper-mid,-17.78464114858384,31.08006172728713,6.35,3,2,187,659,6,1,1,0,1,401846.6
Avonlea,middle,-17.778113877675327,30.99268408728299,8.08,4,4,319,1536,26,0,0,0,1,230163.03
Greendale,upper-mid,-17.785068785242924,31.12522058705986,9.91,2,2,264,980,6,0,1,0,1,339391.67
Glen Lorne,premium,-17.738717825597124,31.176412497888858,17.29,6,5,338,1142,2,1,1,1,1,788117.29
Mt Pleasant,premium,-17.77295639045549,31.029742132770505,6.65,6,6,354,1487,18,1,1,0,1,641908.78
Kambuzuma,township,-17.860993692831883,30.95108137555953,10.49,5,4,53,200,27,0,1,0,0,49182.93
Glen View,township,-17.927434268061067,30.970044659365552,13.34,3,3,98,369,28,0,1,0,0,43977.71
Belvedere,middle,-17.851034771916968,31.02017353033571,3.45,2,1,156,698,39,0,1,1,1,126487.16
Highlands,upper-mid,-17.789426795325408,31.061129516513578,4.93,2,2,304,1667,5,1,1,0,1,410481.91
Budiriro,township,-17.93831419703778,30.93964859038993,16.33,3,2,58,323,4,0,0,0,1,40935.1
